Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
Glendale Riverwalk,HIA reports,"2012, March","An HIA to assess possible impacts on, and recommendations for, walking and biking in Glendale, Colorado, related to the new Glendale Riverwalk development and other important community destinations.",Tri-County Health Department,,Glendale,Colorado,,"Planning and zoning,Transportation","Active transportation,Public transit,Land-use planning","Safe, affordable, and healthy housing,Safe and affordable public transit,Safe street infrastructure",Local,Urban,Government agency,"Economically disadvantaged,Linguistically isolated,Racial and ethnic minorities","Literature review,Primary research,Qualitative research",No,Other funding,Completed
Federal Boulevard Framework Plan,HIA reports,"2015, January","A health impact assessment to assess existing conditions and strategies to improve health near two light rail stations proposed in the draft Federal Boulevard framework plan in Denver, which will provide guidance for planning, transportation, and economic development investments along the corridor.",Tri-County Health Department,,Denver,Colorado,,"Planning and zoning,Transportation","Planning,Active transportation,Public transit,Parks and green spaces","Safe street infrastructure,Safe and accessible active transportation routes,Diet and physical activity,Community safety,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,"Economically disadvantaged,Children","Survey,Primary research,Qualitative research,Literature review",No,Health Impact Project grantee,Completed
City of Sheridan Comprehensive Plan Update,HIA reports,"2015, June","An HIA of the Sheridan, Colorado, Comprehensive Plan update that focused on the potential impacts on residents’ economic opportunity, access to food, sense of safety and social connectedness, and physical activity, as well as air and water quality.",Tri-County Health Department,,Sheridan,Colorado,,"Community development,Planning and zoning,Transportation","Long-range planning,Bridges and roads,Brownfields and Superfund sites,Active transportation,Food and nutrition","Access to healthy food,Clean air and water,Safe and affordable public transit,Safe and accessible active transportation routes,Safe street infrastructure,Employment,Education,Income and wealth,Safe and affordable parks and recreational facilities",Local,Suburban,Government agency,"Economically disadvantaged,Chronic health conditions,Racial and ethnic minorities","Primary research,Literature review,Survey,Qualitative research,Quantitative research",Yes,Health Impact Project grantee,Completed
Central Park Boulevard Commuter Rail Station-Denver,HIA reports,2012,"A health impact assessment of Denver’s local area plan for the proposed Central Park Boulevard commuter rail station, which examined a 1.5-mile radius around the site that includes the Northeast Park Hill, North Park Hill, Stapleton, and Northwest Aurora neighborhoods, as well as commercial and industrial areas.",EnviroHealth Consulting,,Denver,Colorado,,"Planning and zoning,Transportation","Active transportation,Planning,Public transit,Food and nutrition","Diet and physical activity,Access to healthy food,Safe and accessible active transportation routes,Safe and affordable public transit,Safe street infrastructure",Local,Urban,For-profit organization,"Racial and ethnic minorities,Economically disadvantaged",Primary research,No,Other funding,Completed
"Natural Gas Development in Battlement Mesa, Garfield County, Colorado",HIA reports,"2010, September","An HIA on a natural gas development project in Garfield County, Colorado.","Colorado School of Public Health, Garfield County Public Health, Habitat Human Impact Consulting, Inc.",,Garfield County,Colorado,,"Energy,Natural resources management,Planning and zoning","Economic development,Gas and oil,Land-use planning,Siting","Clean air and water,Employment,Noise",County,Rural,Educational institution,"Children,Older adults","Literature review,Quantitative research,Qualitative research",No,Health Impact Project grantee,Completed
Addressing Mental Health and Physical Activity in K-12 Children in Colorado Springs,HIA reports,"2016, November","An HIA of Children’s Hospital Colorado’s community benefit activities that generated recommendations based on two priority areas identified in a community health needs assessment of El Paso County: mental health and the combined effects of physical activity, nutrition, and obesity in school-age children.","Colorado School of Public Health, Children’s Hospital Colorado",,Colorado Springs,Colorado,,"Community development,Tax and budget policy","Financing,Mental/behavioral health,Programs,Food and nutrition","Diet and physical activity,Family and social support,Access to services/medical care,Safe and affordable parks and recreational facilities",Local,Urban,Educational institution,Children,"Literature review,Qualitative research,Primary research,Quantitative research",No,Health Impact Project grantee,Completed
Westerly Creek,HIA reports,"2009, July",An HIA of proposed canal system renovations along Westerly Creek in Denver.,City of Denver (Colorado),,Denver,Colorado,,Planning and zoning,"Active transportation,Emergency preparedness/ response,Ports and waterways","Diet and physical activity,Safe, affordable, and healthy housing,Safe and accessible active transportation routes",Local,Urban,Government agency,"Economically disadvantaged,Racial and ethnic minorities","Quantitative research,Qualitative research",No,Other funding,Completed
Waters Edge Development,HIA reports,"2015, December","A rapid HIA of Waters’ Edge, a proposed development for seniors in Fort Collins, Colorado, that focused on maximizing health benefits for the 900 homes, retail businesses, and services proposed for the community and on how residents can age in place.",Safe and Healthy Communities,,Fort Collins,Colorado,,"Housing,Planning and zoning",Mental/behavioral health,"Access to services/medical care,Diet and physical activity,Family and social support,Safe, affordable, and healthy housing",Local,Urban,Nonprofit organization,"Chronic health conditions,Older adults",Quantitative research,No,Other funding,Completed
Statewide Child Mental Health,HIA reports,In progress,An HIA on a proposed Colorado grant program using tobacco tax funds that would target behavioral health interventions and services for residents from birth through age 25.,"Colorado School of Public Health, Children’s Hospital Colorado, University of Colorado’s Farley Health Policy Center",,,Colorado,,Tax and budget policy,"Financing,Mental/behavioral health,Programs",,State,,Educational institution,Mental illness,,No,Health Impact Project grantee,In progress
South Thornton Revitalization Subarea Plan,HIA reports,"2010, April","An HIA to predict the effect of a revitalization plan on healthy eating and active living in South Thornton, Colorado.",Community Enterprise,,City of Thornton,Colorado,,"Community development,Planning and zoning","Active transportation,Food and nutrition,Parks and green spaces,Planning,Public transit,Redevelopment,Schools","Access to healthy food,Access to services/medical care,Community safety,Diet and physical activity,Family and social support,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities,Safe and affordable public transit",Local,Urban,Nonprofit organization,"Children,Chronic health conditions,Economically disadvantaged,Older adults,Racial and ethnic minorities","Qualitative research,Quantitative research",No,Other funding,Completed
